タイトル,システム,ふりがな
MAIDS AND WEAPONS,クトゥルフ,めいどあんどうぇぽんず
強襲のアングラオークション,クトゥルフ,きょうしゅうのあんぐらおーくしょん
ソープスクール,クトゥルフ,そーぷすくーる
教師である俺たちが教科書の角で敵を殴れば世界を救えるって正気ですか？,クトゥルフ,きょうしであるおれたちがきょうかしょのかどでてきをなぐればせかいをすくえるってしょうきですか？
雨と君は、無垢。,クトゥルフ,あめときみは、むく。
若鷲の双眸,クトゥルフ,あくぃらのそうぼう
輝常,クトゥルフ,きつね
彼方からの君に捧ぐ,クトゥルフ,かなたからのきみにささぐ
ドロップアウトディスパイア,クトゥルフ,どろっぷあうとでぃすぱいあ
こゝろ,クトゥルフ,こころ
ルベライトジャム,クトゥルフ,るべらいとじゃむ
火曜日の友人,インセイン,かようびのゆうじん
紡命論とシンギュラリティー,クトゥルフ,ぼうめいろんとしんぎゅらりてぃー
ロールシャッハシンドローム,エモクロア,ろーるしゃっはしんどろーむ
CIQ〜KPC in the サボテン〜,クトゥルフ,しーあいきゅー～けーぴーしーいんざさぼてん～
たこパしよ,クトゥルフ,たこぱしよ
空蝉の如く,クトゥルフ,うつせみのごとく
虜,クトゥルフ,とりこ
31LOCKERs,クトゥルフ,さんじゅういちろっかーず
ひとくい,インセイン,ひとくい
贖罪,インセイン,しょくざい
ひとつくり,インセイン,ひとつくり
ひところし,インセイン,ひところし
"ʜᴀ,ʟᴀʟ/ʀᴀᴍ",クトゥルフ,はらるらむ
ラプラスのクォーター達,クトゥルフ,らぷらすのくぉーたーたち
The Hog Game,クトゥルフ,ざほぐげーむ
シキラレ■■,クトゥルフ,しきられふたへや
ロッテンブルー・N,クトゥルフ,ろってんぶるー・えぬ
ラプラスのテレコ達,クトゥルフ,らぷらすのてれこたち
こちら地獄閻魔堂前駐在所,クトゥルフ,こちらじごくえんまどうまえちゅうざいしょ
蹂躙するは我が手にて,クトゥルフ,じゅうりんするはわがてにて
Rℯ∤Aby,クトゥルフ,りあび
探索者、回転寿司に行く。,クトゥルフ,たんさくしゃ、かいてんずしにいく。
高級寿司～回らないタイプ～殺魚事件,クトゥルフ,こうきゅうすし～まわらないたいぷ～さつぎょじけん
Sibyl-シビュラ-,クトゥルフ,しびゅら
シャコ食べにきたらミ=ゴがいた,クトゥルフ,しゃこたべにきたらみ=ごがいた
貴様らのエデンはここです,クトゥルフ,きさまらのえでんはここです
キルキルイキル,クトゥルフ,きるきるいきる
天使墜落刑,クトゥルフ,てんしついらくけい
"My sweet,Dirty!",クトゥルフ,まいすいーとだーてぃー
Call the Name of Your Fate,クトゥルフ,こーるざねーむおぶゆあふぇいと
ルックアフターはあたたかで,クトゥルフ,るっくあふたーはあたたかで
思い立って5分で回せるデートシナリオ第10弾！水族館編,クトゥルフ,おもいたって5ふんでまわせるでーとしなりおだい10だんすいぞくかんへん
アナザレイン,インセイン,あなざれいん
Zodiac school,クトゥルフ,ぞでぃあっくすくーる
村ホラーRTA,クトゥルフ,むらほらーあーるてぃーえー
HO3を背負い投げしないと出られない部屋,クトゥルフ,はんどあうとさんをせおいなげしないとでられないへや
愛罠蜂,クトゥルフ,あいわなび
ひときれの無垢,クトゥルフ,ひときれのむく
黄身と蜂蜜,クトゥルフ,きみとはちみつ
水天一碧を朝凪でのぞむ。,クトゥルフ,すいてんいっぺきをあさなぎでのぞむ
百輝夜行,クトゥルフ,ひゃっきやこう
水光接天、海月にて君を待つ。,クトゥルフ,すいこうせってん、かいげつにてきみをまつ
君のために星をかせぐ,クトゥルフ,きみのためにほしをかせぐ
エターナルトゥゲザー,クトゥルフ,えたーなるとぅげざー
闇夜の血をそそぐ,クトゥルフ,やみよのちをそそぐ
夜半の口寄せ,クトゥルフ,よはんのくちよせ
HO1とHO2が箱に詰められるだけ,クトゥルフ,はんどあうといちとはんどあうとにがはこにつめられるだけ
君の胴,クトゥルフ,きみのどう
超高層天照事件,クトゥルフ,ちょうこうそうあまてらすじけん
路地裏月読事件,クトゥルフ,ろじうらつくよみじけん
KPCが知らないおばさんと健康飲料売りにきた,クトゥルフ,けーぴーしーがしらないおばさんとけんこういんりょううりにきた
探偵方程式,クトゥルフ,たんていほうていしき
桐と枸櫞,クトゥルフ,きりとくえん
君のためのヒポクリシー,クトゥルフ,きみのためのひぽくりしー
4ARE,クトゥルフ,ふぉーあー
まつり、まつられ,クトゥルフ,まつり、まつられ
a piece of scape,クトゥルフ,あぴーすおぶすくいぷ
El Colgado Avatara-,クトゥルフ,えるこるがどあヴぁたーら
刹夏,クトゥルフ,せつな
Folieo,クトゥルフ,ふぉりお
愛飢ゑヲワル,クトゥルフ,あいうえをわる
墓穴に納まる,クトゥルフ,はかあなにおさまる
四季送り,クトゥルフ,しきおくり
リバースリバースリバース,クトゥルフ,りばーすりばーすりばーす
ROSETTA2023,クトゥルフ,ろぜったにーぜろにーさん
鳥が群れては、極彩色,クトゥルフ,とりがむれてはごくさいしき
レッツ！ロシアンオムライス,クトゥルフ,れっつろしあんおむらいす
京都木屋町おばんざい殺人事件 ぶぶづけは死の香り…,フタリソウサ,きょうときやまちおばんざいさつじんじけん
九仙過災,クトゥルフ,じゅーしぇんこーづぁい
初詣するまで帰れないってマジ！？～福袋で大混乱編～,クトゥルフ,はつもうでするまでかえれないってまじ！？
鉄の揺り篭,クトゥルフ,てつのゆりかご
先生,クトゥルフ,せんせい
こちら、火星行きのバスとなりまぁす！,クトゥルフ,こちらかせいいきのばすとなりまぁす！
バナナがぶらさがってる部屋,クトゥルフ,ばなながぶらさがってるへや
斬火血刀,クトゥルフ,ざんかけっとう
湾骨海岸,クトゥルフ,わんこつかいがん
やたら爆弾を見つけるKPC,クトゥルフ,やたらばくだんをみつけるきーぴーしー
撮るな,インセイン,とるな
白々明けに 我が牙と舞え,クトゥルフ,しらじらあけにわがきばとまえ
墨黒々に 我が牙と舞え,クトゥルフ,すみくろぐろにわがきばとまえ
"My dear,“H”",クトゥルフ,まいであえいち
おばけのまち,クトゥルフ,おばけのまち
ケミカルゴーストパレード,クトゥルフ,けみかるごーすとぱれーど
7匹のもちもち神話,クトゥルフ,ななひきのもちもちしんわ
異能警察は、英雄じゃない,クトゥルフ,いのうけいさつはひーろーじゃない
神のち晴れ！,クトゥルフ,かみのちはれ！
Myrtle,クトゥルフ,まーとる
地獄の沙汰をも飲み込んで,クトゥルフ,じごくのさたをものみこんで
ピリオド・アズール,クトゥルフ,ぴりおどあずーる
ラプラスの遺言,クトゥルフ,らぷらすのゆいごん
ロトカ・ヴォルテラの愛堕討ち,クトゥルフ,ろとかヴぉるてらのあだうち
悪辣,クトゥルフ,あくらつ
ラブレターフロムロラン,クトゥルフ,らぶれたーふろむろらん
マグナム扇風機100号,クトゥルフ,まぐなむせんぷうきひゃくごう
灰になってよかった,クトゥルフ,はいになってよかった
MAGNIFICAS,クトゥルフ,まぐにふぃか
星々を紡ぐノルニル,クトゥルフ,ほしぼしをつむぐのるにる
あやかし万屋怪異譚,クトゥルフ,あやかしよろずやかいいたん
珍品堂奇禍録,クトゥルフ,ちんぴんどうきかろく
七日目のザナドゥ,クトゥルフ,ななにちめのざなどぅ
異説・狂人日記,クトゥルフ,いせつきょうじんにっき
迷い猫に缶切りひとつ,クトゥルフ,まよいねこにかんきりひとつ
商・不幸堂,クトゥルフ,あきないふこうどう
ニジュウゴ,クトゥルフ,にじゅうご
FRaTRlCiDE,クトゥルフ,ふらとりさいど
メルティーシュガーハロウィーン,クトゥルフ,めるてぃーしゅがーはろうぃーん
そうだ、キャンプへいこう！,クトゥルフ,そうだきゃんぷへいこう
鰯と柊,クトゥルフ,いわしとひいらぎ
カプラの灯明,クトゥルフ,かぷらのとうみょう
A-R-S,クトゥルフ,あるす
月を虧く,クトゥルフ,つきをかく
辜月のN,クトゥルフ,こげつのえぬ
十二星座館殺人事件,クトゥルフ,じゅうにせいざさつじんじけん
六色の殺人,クトゥルフ,ろくしょくのさつじん
六色の人魚,クトゥルフ,ろくしょくのにんぎょ
代理殺人は覚めないうちに,クトゥルフ,だいりさつじんはさめないうちに
花冷えに亡く季節,クトゥルフ,はなひえになくきせつ
デウス・エクス・マキナは死んだ,クトゥルフ,でうすえくすまきなはしんだ
アポ・メーカネース・テオスの追憶,クトゥルフ,あぽめーかねーすておすのついおく
エンジェル・デビル・インプロパー,クトゥルフ,えんじぇるでびるいんぷろぱー
シネラリウムと灰,クトゥルフ,しねらりうむとはい
夜往々ノ騒話,クトゥルフ,よるおうおうのさざめくはなし
お嬢様！迷推理のお時間です！事件file.01「爆弾魔ですよ！お嬢様！」,クトゥルフ,おじょうさまめいすいりのおじかんですじけんぼふぁいるいち
ゆらめく魔法市,クトゥルフ,ゆらめくまほういち
VOID,クトゥルフ,ぼいど
DOGMA,クトゥルフ,どぐま
ungoodrug.,クトゥルフ,あんぐっどらっぐ
セメタリーでダンスを！,クトゥルフ,せめたりーでだんすを
壊胎,クトゥルフ,かいたい
Oh！My Buddy！,クトゥルフ,おうまいばでぃ
スーサイデッドメアリンク,クトゥルフ,すーさいでっどめありんく
焼肉飲み放題2時間3000円,クトゥルフ,やきにくのみほうだいにじかんさんぜんえん
3回ファンブルしたら死ぬ部屋,クトゥルフ,さんかいふぁんぶるしたらしぬへや
